,cX,cY,Reps,Avg Velocity,Peak Velocity,Avg Velocity Loss,Peak Velocity Loss,Rep
174,548,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
175,549,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
176,549,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
177,550,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
178,550,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
179,550,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
180,551,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
181,551,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
182,551,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
183,551,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
184,552,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
185,552,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
186,553,1000,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
187,553,999,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
188,554,997,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
189,555,995,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
190,556,994,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
191,556,993,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
192,557,992,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
193,558,991,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
194,558,991,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
195,559,991,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
196,559,990,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
197,560,991,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
198,560,990,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
199,560,990,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
200,560,990,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
201,560,989,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
202,560,988,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
203,560,987,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
204,559,986,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
